SMILES,logIE,correction
CN(C)c1cccc(c1)C(O)=O,0.66584456,0.752222525
CC(C)c1ccc(cc1)C(O)=O,0.50501096,0.294899904
CC(C)(C)c1ccccc1O,-0.08370402,-0.559452542
CC(C)(C)c1cc(c(O)c(c1)C(C)(C)C)C(C)(C)C,0.34949246,-1.776649912
Oc1cc(ccc1[N+]([O-])=O)[N+]([O-])=O,1.253485,0.064563459
Oc1cccc(Cl)c1,0.044320032,0.847172303
CC(C)c1ccccc1O,-0.13685203,-0.903625334
Oc1cccc(Br)c1,0.804139,0.237136951
Oc1ccccc1Br,-0.54626447,-0.365661174
Oc1c(cccc1[N+]([O-])=O)[N+]([O-])=O,1.2547028,0.090795068
Oc1ccccc1[N+]([O-])=O,0.8356739,-2.071376831
Oc1cccc(c1)[N+]([O-])=O,0.83605486,0.004696593
Oc1ccc(cc1)[N+]([O-])=O,0.8362831,0.060356081
Oc1c(F)c(F)cc(F)c1F,0.9157724,0.052611929
OC(C1=CC=CC(S(=O)(C(F)(C(F)(C(F)(F)F)F)F)=O)=C1)=O,2.2429385,0.007549328
OC(C1=CC=CC(S(=O)(C(C(F)(F)F)(C(F)(F)F)C(F)(F)F)=O)=C1)=O,2.327107,0.067480254
OC(C1=CC=CC(SC(F)(C(F)(C(F)(F)F)F)F)=C1)=O,1.7071137,0.00168787
OC(=O)c1cccc(c1)[S](=O)(=O)C(F)(F)F,1.7378919,0.066191357
FC(F)(F)C(c1cccc(c1)C(=O)O)(C(F)(F)F)C(F)(F)F,2.0745444,0.091865489
OC(C1=CC=CC(SC(F)(F)F)=C1)=O,1.1507001,0.160072925
Oc1c(Br)c(Br)c(Br)c(Br)c1Br,1.8518078,0.481446266
Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,2.1603487,0.220535963
O=S(C1=C(O)C(S(=O)(OCC(F)(F)F)=O)=CC(S(=O)(OCC(F)(F)F)=O)=C1)(OCC(F)(F)F)=O,3.4004579,0.011494808
OC(=O)c1ccccc1O,0.62767875,0.120854914
Oc1ccccc1C#N,0.74895513,0.741756118
Oc1ccccc1N=Nc2cc(ccc2O)c3ccccc3,1.1091964,0.733119413
OC(=O)c1cc(I)cc(I)c1O,1.862715,0.073276116
Oc1c(cc(c(O)c1[N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O,1.9693215,0.100179603
OC(=O)c1cc(cc(c1O)[N+]([O-])=O)[N+]([O-])=O,1.6425977,0.061372757
OC(=O)c1ccc(cc1[N+]([O-])=O)[N+]([O-])=O,1.2295222,1.157056541
Oc1ccc(Cl)cc1,0.028742984,-1.359287299
O=S(C1=C(O)C(S(=O)(OCC(F)(C(F)F)F)=O)=CC(S(=O)(OCC(F)(C(F)F)F)=O)=C1)(OCC(F)(C(F)F)F)=O,3.6756525,0.19339367
FC1=C(O)C(F)=C(F)C2=C(F)C(F)=C(F)C(F)=C21,1.6431351,0.050210942
O[S](=O)(=O)c1ccc(cc1[N+]([O-])=O)[N+]([O-])=O,1.6259217,0.111518182
O=S(C1=CC=CC2=CC=CC=C21)(O)=O,1.3893425,0.163046659
O[S](=O)(=O)c1ccc2C(=O)c3ccccc3C(=O)c2c1,2.0300791,0.004863173
N[S](=O)(=O)c1cccc(c1)[N+]([O-])=O,1.1806889,0.040090359
O=S(O)(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)=O,2.8235457,0.029709383
OC(C(F)(F)F)(C(F)(F)F)C(F)(F)F,1.4794934,0.09786989
FC1=C(S(NS(C2=C(F)C(F)=C(F)C(F)=C2F)(=O)=O)(=O)=O)C(F)=C(F)C(F)=C1F,2.2231603,0.110735893
O=S(NS(C1=CC=C([N+]([O-])=O)C=C1)(=O)=O)(C2=CC=C(C)C=C2)=O,2.4608672,0.064309062
O=C1NC(=O)c2ccccc12,0.05398839,-1.034169867
ON1C(=O)c2ccccc2C1=O,0.04181646,0.902752414
OC(=O)c1ccccc1,-1.7799394,-0.171012772
OC(=O)c1cc(cc(c1)[N+]([O-])=O)[N+]([O-])=O,0.49763846,0.078447289
OC(=O)c1cccc(c1)C(F)(F)F,-0.03489901,1.05287729
Oc1c(F)c(F)c(F)c(F)c1F,0.20611858,0.084834651
CC(C)(C)c1ccc(cc1)C(O)=O,-0.23053801,-0.047900048
Oc1c(F)c(F)c(c(F)c1F)c2c(F)c(F)c(F)c(F)c2F,2.397967,0.131116557
Oc1ccc(cc1)c2ccccc2,-1.5522206,-0.070496954
OC(=O)c1cccc(Cl)c1,-0.07698132,-0.358488992
Nc1ccc(cc1)C(O)=O,-2.0029678,-0.136651795
