SMILES,pH_aq,logIE
CCCCCCCCCCCCCC(O)=O,2.78,0.28
FC1=C(S(NS(C2=C(F)C(F)=C(F)C(F)=C2F)(=O)=O)(=O)=O)C(F)=C(F)C(F)=C1F,2.78,2.68
O=S(NS(C1=CC=C([N+]([O-])=O)C=C1)(=O)=O)(C2=CC=C(C)C=C2)=O,2.78,2.6
C/C=C/C=C/C(O)=O,2.78,-1.98
O=C1NC(=O)c2ccccc12,2.78,-1.99
ON1C(=O)c2ccccc2C1=O,2.78,-0.36
NCCCC(O)=O,2.78,-2.13
NCCC(O)=O,2.78,-2.57
OC(=O)c1ccccc1,5,-0.65
OC(=O)c1cc(cc(c1)[N+]([O-])=O)[N+]([O-])=O,5,0.86
OC(=O)c1cccc(c1)C(F)(F)F,5,1.03
Oc1c(F)c(F)c(F)c(F)c1F,5,0.65
CC(C)(C)c1ccc(cc1)C(O)=O,5,0.78
Oc1c(F)c(F)c(c(F)c1F)c2c(F)c(F)c(F)c(F)c2F,5,2.49
